,opening_gross,screens,production_budget,worldwide_gross,title_year,aspect_ratio,duration,cast_total_facebook_likes,budget,imdb_score
684,11503423.0,2787.0,20000000.0,68349884.0,2002.0,1.85,91.0,1083.0,35000000.0,5.5
685,5012315.0,1505.0,20000000.0,29843245.0,2008.0,1.85,102.0,500.0,20000000.0,6.7
686,3804452.0,2048.0,28000000.0,8434601.0,2001.0,2.35,98.0,28867.0,28000000.0,4.9
687,168012.0,21.0,36000000.0,13052741.0,1996.0,1.85,130.0,3968.0,36000000.0,6.7
688,3753518.0,2215.0,54000000.0,7126002.0,2003.0,2.35,121.0,286.0,54000000.0,2.4
689,17695682.477841157,2244.4561008554706,12000000.0,4880941.0,1996.0,1.85,108.0,4497.0,12000000.0,5.0
690,89472.0,7.0,12000000.0,43281552.0,2003.0,2.35,100.0,34700.0,60214958.65377698,7.0
691,95399.0,9.0,24000000.0,28871190.0,1999.0,1.85,127.0,13433.0,24000000.0,7.3
692,34819017.0,2938.0,103000000.0,457683805.0,2000.0,2.35,171.0,6521.0,103000000.0,8.5
693,16927589.0,2222.0,30000000.0,42799060.0,2006.0,2.35,118.0,2577.0,60214958.65377698,7.2
694,1921838.0,1007.0,33000000.0,27610873.0,2005.0,2.35,118.0,2859.0,10000000.0,6.8
695,4675246.0,1533.0,55000000.0,12923936.0,2003.0,2.35,280.0,1671.0,56000000.0,6.3
696,14123903.0,3117.0,140000000.0,133553464.0,2016.0,2.35,126.0,19769.0,140000000.0,5.5
697,6800617.0,2323.0,30000000.0,16910708.0,2004.0,2.35,102.0,23352.0,25000000.0,4.8
698,8508290.0,3030.0,32000000.0,43603990.0,2010.0,2.35,102.0,2961.0,32000000.0,6.3
699,37513109.0,3014.0,61000000.0,368567189.0,2014.0,2.35,149.0,4348.0,61000000.0,8.1
700,25336048.0,3006.0,103300000.0,232643008.0,2000.0,2.35,127.0,29069.0,90000000.0,6.5
701,13652001.0,2612.0,25000000.0,59183821.0,2007.0,1.85,101.0,2822.0,25000000.0,5.6
702,9508.0,2.0,16000000.0,31631.0,2008.0,2.35,92.0,11091.0,15000000.0,6.2
703,23618556.0,3501.0,58000000.0,158162788.0,2015.0,2.35,103.0,5497.0,58000000.0,6.4
704,23618556.0,3501.0,58000000.0,158162788.0,2015.0,2.35,103.0,5497.0,58000000.0,6.4
705,3395759.0,658.0,18000000.0,41300105.0,2001.0,2.35,131.0,3261.0,19800000.0,7.3
706,2321729.0,1525.0,14000000.0,12591270.0,2000.0,2.35,90.0,12776.0,24000000.0,5.9
707,19288438.0,2382.0,40000000.0,141484812.0,2003.0,1.85,98.0,22318.0,40000000.0,5.8
708,271720.0,6.0,25000000.0,274543085.0,2008.0,2.35,116.0,17347.0,33000000.0,8.2
709,55785112.0,3575.0,110000000.0,716392705.0,2013.0,2.35,91.0,87.0,100000000.0,7.8
710,53174303.0,3816.0,200000000.0,231201172.0,2011.0,2.35,123.0,17657.0,200000000.0,5.6
711,14309295.0,3003.0,100000000.0,97523020.0,2010.0,2.35,115.0,13761.0,100000000.0,6.9
712,14414630.0,3504.0,30000000.0,41457834.0,2006.0,2.35,125.0,15811.0,30000000.0,6.9
713,11596613.0,2624.0,53000000.0,50187789.0,2007.0,2.35,189.0,22186.0,53000000.0,7.6
714,6870397.0,1227.0,15000000.0,31070412.0,1997.0,1.85,107.0,2044.0,15000000.0,7.4
715,41508572.0,3491.0,80000000.0,247023808.0,2013.0,1.85,101.0,39269.0,80000000.0,5.4
716,40506562.0,3534.0,75000000.0,272223430.0,2010.0,1.85,102.0,28497.0,80000000.0,6.0
717,7310000.0,2838.0,40000000.0,69807260.0,2013.0,1.85,113.0,36009.0,40000000.0,6.4
718,94320883.0,4080.0,170000000.0,771172112.0,2014.0,2.35,121.0,32438.0,170000000.0,8.1
719,20671446.0,3147.0,35000000.0,102115888.0,2005.0,1.85,105.0,2689.0,35000000.0,5.9
720,6307691.0,2546.0,112000000.0,232017848.0,2010.0,2.35,85.0,1173.0,112000000.0,4.9
721,11355225.0,2232.0,22000000.0,63504795.0,2016.0,1.85,106.0,38494.0,22000000.0,6.4
722,27476745.0,3121.0,75000000.0,202871849.0,2007.0,2.35,117.0,1673.0,75000000.0,6.7
723,7820536.0,2113.0,25000000.0,19233280.0,2002.0,1.85,98.0,1855.0,13000000.0,4.6
724,13535374.0,2950.0,68000000.0,87173475.0,2011.0,2.35,111.0,3393.0,36000000.0,5.9
725,12292121.0,1954.0,15000000.0,37659652.0,2002.0,2.35,94.0,5440.0,15000000.0,4.1
726,62603879.0,3965.0,150000000.0,624234272.0,2008.0,2.35,102.0,21584.0,150000000.0,6.4
727,13567978.0,2244.4561008554706,40000000.0,51867723.0,2000.0,1.85,94.0,1238.0,60000000.0,4.7
728,32324487.0,3118.0,30000000.0,169173206.0,2009.0,1.85,102.0,4516.0,30000000.0,4.2
729,13051650.0,3003.0,50000000.0,80583311.0,2007.0,2.35,131.0,1344.0,50000000.0,6.2
730,19690956.0,3372.0,50000000.0,214949716.0,2013.0,2.35,98.0,11946.0,50000000.0,6.1
731,6608244.0,2244.4561008554706,47000000.0,37923818.0,2006.0,1.85,75.0,6863.0,47000000.0,4.5
732,21237068.0,3606.0,135000000.0,157956466.0,2011.0,2.35,100.0,62644.0,135000000.0,5.9
733,8009024.0,2107.0,70000000.0,19870567.0,1998.0,2.35,97.0,13628.0,70000000.0,5.8
734,9386342.0,2137.0,21000000.0,43728560.0,2001.0,1.85,106.0,18630.0,21000000.0,6.3
735,14908404.0,2510.0,12000000.0,43353117.0,2008.0,1.85,102.0,4065.0,12000000.0,6.6
736,9580000.0,1826.0,13000000.0,26570048.0,1996.0,1.85,100.0,2486.0,13000000.0,5.9
